Nombre,Valor,Fecha de carga
CONABIP,2010,2022-08-03
DNPyM,1048,2022-08-03
INCAA / SInCA,329,2022-08-03
Municipalidad de Santa Fe - Red de Ciudades Creativas,37,2022-08-03
RCC- Córdoba,31,2022-08-03
Gobierno de la Provincia,14,2022-08-03
RCC,10,2022-08-03
Secretaria de Cultura Provincial,6,2022-08-03
Gobierno de la Provincia de Mendoza,4,2022-08-03
Gobierno de la Provincia de Jujuy,4,2022-08-03
Red de Espacios Culturales Vicente López,4,2022-08-03
Área Gestión Cultural de la Municipalidad de Colonia Caroya,4,2022-08-03
Municipalidad de Río Gallegos - Red de Ciudades Creativas,4,2022-08-03
Gobierno de la Provincia de San Juan,3,2022-08-03
Gobierno de la Provincia de Chubut / SInCA 2013,3,2022-08-03
Dirección de Cultura de Villa Allende,2,2022-08-03
Municipalidad de Puerto Madryn,2,2022-08-03
UNLA,1,2022-08-03
CNMLH - Ente Cultural de Tucumán,1,2022-08-03
SInCA,1,2022-08-03
Gob. Pcia.,1,2022-08-03
Gobierno de la Provincia de La Rioja,1,2022-08-03
Gobierno de la Provincia de Salta,1,2022-08-03
Gobierno de la Provincia de Neuquén,1,2022-08-03
Gobierno de la provincia,1,2022-08-03
CNMLH - Enlace SInCA,1,2022-08-03
Secretaria de Cultura del Municipio de Esteban Echeverría,1,2022-08-03
Dirección de Cultura y de Educación de la Municipalidad de Unquillo,1,2022-08-03
Dirección Provincial de Patrimonio Cultural - Enlace SInCA,1,2022-08-03
Gobierno de la Provincia de La Pampa,1,2022-08-03
Bibliotecas Populares,2017,2022-08-03
Espacios de Exhibición Patrimonial,1182,2022-08-03
Salas de cine,329,2022-08-03
"('Bibliotecas Populares', 'Buenos Aires')",543,2022-08-03
"('Bibliotecas Populares', 'Santa Fe')",272,2022-08-03
"('Bibliotecas Populares', 'Córdoba')",185,2022-08-03
"('Espacios de Exhibición Patrimonial', 'Santa Fe')",162,2022-08-03
"('Espacios de Exhibición Patrimonial', 'Buenos Aires')",152,2022-08-03
"('Espacios de Exhibición Patrimonial', 'Ciudad Autónoma de Buenos Aires')",132,2022-08-03
"('Espacios de Exhibición Patrimonial', 'Córdoba')",126,2022-08-03
"('Salas de cine', 'Buenos Aires')",106,2022-08-03
"('Bibliotecas Populares', 'La Pampa')",72,2022-08-03
"('Bibliotecas Populares', 'Chaco')",70,2022-08-03
"('Bibliotecas Populares', 'Neuquén')",70,2022-08-03
"('Bibliotecas Populares', 'Mendoza')",67,2022-08-03
"('Bibliotecas Populares', 'Santiago del Estero')",67,2022-08-03
"('Bibliotecas Populares', 'Río Negro')",66,2022-08-03
"('Bibliotecas Populares', 'Salta')",64,2022-08-03
"('Espacios de Exhibición Patrimonial', 'Mendoza')",63,2022-08-03
"('Bibliotecas Populares', 'Corrientes')",58,2022-08-03
